"WEHA","WEHA.JK"," WEHA Transportasi Indonesia Tbk."
"WICO","WICO.JK"," Wicaksana Overseas International Tbk."
"WIKA","WIKA.JK"," Wijaya Karya (Persero) Tbk."
"WINS","WINS.JK"," Wintermar Offshore Marine Tbk."
"WOOD","WOOD.JK"," Integra Indocabinet Tbk."
"WSBP","WSBP.JK"," Waskita Beton Precast Tbk."
"WTON","WTON.JK"," Wijaya Karya Beton Tbk."
"YELO","YELO.JK"," Yelooo Integra Datanet Tbk."
"ZBRA","ZBRA.JK"," Zebra Nusantara Tbk."
"ZINC","ZINC.JK"," Kapuas Prima Coal Tbk."
"ZONE","ZONE.JK"," Mega Perintis Tbk. "
